id_departamento,departamento,id_municipio,municipio,id_localidad,localidad,anio_servicio,mes_servicio,energia_activa,energia_reactiva,potencia_maxima,dia_demanda_max,fecha_demanda_max,promedio_horas,municipio_original
27,chocó,27372,juradó,27372902,buenavista(jurado - chocó),2025,5,2378,419,18.29,viernes,2025-05-30 19:15:00,12.2258,jurado
27,chocó,27372,juradó,27372905,dichardi(jurado - chocó),2025,5,2552,2252,11.51,viernes,2025-05-09 18:45:00,15.4032,jurado
27,chocó,27372,juradó,27372907,eyasake(jurado - chocó),2025,5,5382,2447,20.14,sábado,2025-05-10 19:00:00,10.8629,jurado
27,chocó,27372,juradó,27372930,dos bocas(jurado - chocó),2025,5,4273,1528,24.42,martes,2025-05-06 19:00:00,13.7742,jurado
27,chocó,27425,medio atrato,27425000,bete(medio atrato - chocó),2025,5,12347,5103,96.0,jueves,2025-05-29 19:30:00,6.7581,medio atrato
27,chocó,27425,medio atrato,27425008,san roque(medio atrato - chocó),2025,5,1419,727,19.34,jueves,2025-05-22 19:45:00,3.5161,medio atrato
27,chocó,27491,novita,27491004,juntas de tamana(novita - chocó),2025,5,3407,1048,16.77,lunes,2025-05-12 19:00:00,10.2016,novita
27,chocó,27495,nuquí,27495000,nuquí(nuquí - chocó),2025,5,317868,100982,574.11,lunes,2025-05-12 20:15:00,23.8871,nuquí
27,chocó,27495,nuquí,27495001,arusi(nuquí - chocó),2025,5,21057,9981,69.6,martes,2025-05-27 19:00:00,18.0403,nuquí
27,chocó,27495,nuquí,27495002,coqui(nuquí - chocó),2025,5,3633,759,13.2,lunes,2025-05-19 19:30:00,15.1855,nuquí
27,chocó,27495,nuquí,27495003,jurubira(nuquí - chocó),2025,5,22476,7968,60.88,martes,2025-05-27 19:15:00,15.879,nuquí
27,chocó,27495,nuquí,27495008,jovi(nuquí - chocó),2025,5,8598,3416,24.61,jueves,2025-05-08 19:00:00,15.6613,nuquí
27,chocó,27495,nuquí,27495010,termales(nuquí - chocó),2025,5,10229,5361,29.76,sábado,2025-05-24 18:45:00,15.1694,nuquí
27,chocó,27495,nuquí,27495011,comunidad de puerto jagua(nuquí - chocó),2025,5,1037,335,5.98,jueves,2025-05-01 19:30:00,6.8629,nuquí
27,chocó,27495,nuquí,27495012,comunidad indig. puerto indio(nuquí - chocó),2025,5,1806,343,5.94,jueves,2025-05-15 09:30:00,12.9839,nuquí
27,chocó,27495,nuquí,27495910,comunidad indig. de rio nuquí(nuquí - chocó),2025,5,808,209,5.25,viernes,2025-05-02 19:15:00,8.5403,nuquí
27,chocó,27495,nuquí,27495912,comunidad indígena de pangui - el yucal(nuquí - chocó),2025,5,7399,1869,11.55,domingo,2025-05-18 10:00:00,22.9839,nuquí
27,chocó,27615,riosucio,27615011,san jose tamboral(riosucio - chocó),2025,5,0,0,,,,0.0,riosucio
27,chocó,27800,unguía,27800000,unguía(unguía - chocó),2025,5,492657,151195,1042.8,lunes,2025-05-12 21:00:00,22.6452,unguía
27,chocó,27800,unguía,27800001,balboa(unguía - chocó),2025,5,28092,9724,90.7,lunes,2025-05-12 20:45:00,13.1452,unguía
27,chocó,27800,unguía,27800005,titumate(unguía - chocó),2025,5,15631,3565,69.96,miércoles,2025-05-14 20:15:00,10.6855,unguía
44,la guajira,44847,uribia,44847003,cabo de la vela(uribia - la guajira),2025,5,6048,520,97.16,martes,2025-05-20 19:00:00,2.5968,uribia
44,la guajira,44847,uribia,44847012,nazareth(uribia - la guajira),2025,5,38849,9068,273.12,jueves,2025-05-22 19:00:00,5.5161,uribia
